ID,S,T,Dsi_change,Avg_Fo_D,Avg_Fv_Fm_D,Avg_Sigma_D,Avg_Fo_L,Avg_Fv_Fm_L,Growth_R2,Growth_rate,pH_mean,pH.sd,CO2.mean,CO2.sd,pCO2.mean,pCO2.sd,HCO3.mean,HCO3.sd,CO3.mean,CO3.sd,DIC.mean,DIC.sd,ALK.mean,ALK.sd,OmegaAragonite.mean,OmegaAragonite.sd,OmegaCalcite.mean,OmegaCalcite.sd
11,33.06,15.5,9.895722,18.478,0.4086,0.0336,20.56142857,0.544857143,0.9999,1.0116,8.332721795,0.068195959,7.37E-06,1.44E-06,198.410228,38.68055633,0.001796976,7.04E-05,0.000280767,3.30E-05,0.002085117,3.88E-05,0.002483347,9.13E-06,4.34156184,0.510482915,6.776666762,0.796803715
12,33.06,15.5,18.735291,26.42,0.404875,0.0339125,25.91857143,0.522285714,0.9995,1.0897,8.492270786,0.082221927,4.82E-06,1.19E-06,129.7538005,32.04417433,0.001687778,0.000101535,0.00038084,4.90E-05,0.002073441,5.37E-05,0.002609195,1.48E-05,5.88901887,0.75832763,9.192064955,1.183660128
13,33.06,15.5,9.180048,14.43,0.3856,0.03248,13.5875,0.523375,0.9978,1.1358,8.583952824,0.024639045,3.77E-06,3.10E-07,101.5078764,8.352456948,0.001652129,4.24E-05,0.000458957,1.43E-05,0.002114858,2.84E-05,0.002752227,8.28E-06,7.096961234,0.220610103,11.07752074,0.344346392
14,33.06,15.5,14.340351,25.31,0.389142857,0.035285714,25.76666667,0.504444444,0.9985,0.926,8.709116375,0.054438366,2.63E-06,4.70E-07,70.65052027,12.6347891,0.001525139,8.30E-05,0.000565446,4.01E-05,0.002093211,4.34E-05,0.002870142,1.02E-05,8.743629102,0.619408314,13.64777536,0.966823435
15,33.06,15.5,14.414115,27.09727273,0.364090909,0.037172727,25.50375,0.4865,0.998,0.8602,8.819949069,0.04442131,1.91E-06,2.82E-07,51.4146095,7.59443196,0.00143595,6.60E-05,0.000686981,3.87E-05,0.002124843,2.76E-05,0.003053659,2.18E-05,10.62296151,0.597941976,16.58119194,0.933317011
16,33.06,15.5,11.258892,25.28222222,0.340666667,0.036044444,26.69230769,0.473538462,0.9969,0.7614,8.909141977,0.047099147,1.44E-06,2.45E-07,38.62124153,6.593999906,0.001322723,8.34E-05,0.000776502,3.52E-05,0.002100661,4.85E-05,0.003143792,1.63E-06,12.00724941,0.544074969,18.74190234,0.849236956
17,33.06,15.5,21.448329,28.786,0.3808,0.03354,27.90125,0.5145,0.9732,0.9125,7.370447694,0.516743805,0.000105031,0.000104296,2826.020803,2806.24879,0.002007079,8.57E-05,4.59E-05,4.35E-05,0.002158036,0.000146434,0.002124893,2.34E-05,0.710169219,0.673130993,1.108490521,1.050678211
18,33.06,15.5,8.584977,13.83625,0.3905,0.0348125,13.32666667,0.526222222,0.998,1.1984,7.745722914,0.138765283,3.80E-05,1.29E-05,1023.594187,347.721247,0.002351142,6.34E-05,9.68E-05,2.79E-05,0.002485989,4.84E-05,0.002588054,3.98E-06,1.496899722,0.431795641,2.336484188,0.673982147
19,33.06,15.5,9.576933,12.51909091,0.277363636,0.038736364,14.85333333,0.525666667,0.9974,1.0201,7.582810399,0.15543391,5.19E-05,1.93E-05,1395.12798,520.0762295,0.002188279,5.23E-05,6.23E-05,2.04E-05,0.002302446,5.12E-05,0.002344546,1.98E-06,0.963596102,0.31599564,1.504060041,0.493231981
20,33.06,15.5,11.33733,16.59428571,0.397428571,0.033571429,17.71222222,0.533333333,0.9891,1.2764,7.89127327,0.130379939,2.49E-05,8.21E-06,669.8021405,221.0077405,0.002155066,7.74E-05,0.000123559,3.23E-05,0.002303519,5.34E-05,0.002459348,1.09E-06,1.910622483,0.49912794,2.982256697,0.779079936
21,33.06,15.5,20.5262505,28.78666667,0.4045,0.0345,30.18777778,0.534444444,0.9966,1.1356,8.151068924,0.155827759,1.34E-05,5.54E-06,359.4445356,149.0096832,0.002069916,0.000141213,0.00021645,6.20E-05,0.002299726,8.47E-05,0.002595296,7.58E-06,3.347023486,0.9589646,5.224309511,1.496830811
22,33.06,15.5,19.605541,28.55666667,0.410833333,0.036733333,29.70125,0.532625,0.9999,1.1664,8.331938498,0.113568368,8.35E-06,2.69E-06,224.761033,72.25770527,0.001999228,0.000131258,0.000313489,6.10E-05,0.002321071,7.30E-05,0.00275111,1.30E-05,4.847564752,0.943129991,7.56647772,1.472114851
23,33.06,15.5,10.0759235,16.18857143,0.415142857,0.034157143,18.68444444,0.532111111,0.9996,1.165,8.428202147,0.045503468,6.49E-06,8.69E-07,174.5925894,23.38508019,0.001979805,5.85E-05,0.000384667,2.89E-05,0.002370961,3.05E-05,0.002894293,8.95E-06,5.948201154,0.446929889,9.284441531,0.697604925
24,33.06,15.5,14.803399,21.55833333,0.399166667,0.035433333,23.64857143,0.529714286,0.9964,1.1932,8.562565037,0.055784111,4.48E-06,7.84E-07,120.5440138,21.09483452,0.001857209,8.81E-05,0.000491626,3.98E-05,0.002353315,4.91E-05,0.003017112,4.26E-06,7.602131736,0.615077321,11.8660324,0.960063265
25,33.06,15.5,8.433821,12.55111111,0.41,0.036744444,16.25,0.513,0.9718,1.0593,8.642338223,0.026507152,3.59E-06,3.02E-07,96.71871454,8.129730279,0.001800506,4.16E-05,0.000572232,2.17E-05,0.002376333,2.02E-05,0.003141939,7.95E-06,8.848568836,0.335416568,13.81157393,0.523545764
26,33.06,15.5,14.181612,23.36384615,0.385769231,0.034738462,23.46875,0.496125,0.9939,1.1485,8.779755914,0.049026689,2.41E-06,3.91E-07,64.87795846,10.52298318,0.001650083,8.25E-05,0.000719715,4.52E-05,0.002372209,3.77E-05,0.003322436,1.97E-05,11.12912872,0.699148527,17.37125934,1.091288518
27,33.06,15.5,18.2630925,41.2525,0.330625,0.039875,38.18818182,0.471,0.9905,0.9184,8.868499593,0.071423499,1.83E-06,4.55E-07,49.34422518,12.23176662,0.001527632,0.000131236,0.000816817,6.40E-05,0.002346284,6.77E-05,0.003417516,1.40E-05,12.63064717,0.989788651,19.71495283,1.544943525
28,33.06,15.5,22.515625,29.27714286,0.380142857,0.033371429,31.21142857,0.519428571,0.9984,1.0441,7.572798864,0.252443743,8.48E-05,4.88E-05,2281.610586,1313.42329,0.003311714,9.85E-05,9.65E-05,5.07E-05,0.003493054,9.67E-05,0.003536931,1.79E-05,1.492853946,0.783979859,2.330169209,1.223700237
29,33.06,15.5,30.428013,39.054,0.3822,0.03286,37.74875,0.515875,0.9936,1.0263,7.422632366,0.605835891,0.000114604,0.000125395,3083.595035,3373.983626,0.002198511,0.000133787,6.22E-05,6.48E-05,0.002375352,0.000194336,0.002353974,2.54E-05,0.962394116,1.002749415,1.502183883,1.565173751
30,33.06,15.5,18.9576365,27.59428571,0.382,0.035471429,28.23666667,0.522222222,0.9968,1.0558,7.534212869,0.332745469,7.12E-05,5.17E-05,1915.0387,1390.812805,0.002389502,8.70E-05,6.72E-05,4.51E-05,0.002527903,9.36E-05,0.002555087,2.20E-05,1.039537538,0.697744019,1.622595679,1.089096247
31,33.06,15.5,23.7362165,28.40833333,0.379166667,0.03395,31.833,0.5169,0.9999,0.9031,7.730367727,0.314760335,4.40E-05,3.12E-05,1185.088325,840.1860381,0.002343394,0.000127769,0.00010155,6.34E-05,0.002488988,9.56E-05,0.002591362,2.46E-05,1.570285391,0.980124235,2.451030575,1.529858509
32,33.06,15.5,4.899841,8.645916667,0.402583333,0.034166667,9.6145,0.527,0.9906,1.2468,7.79728477,0.086606112,3.45E-05,7.47E-06,929.2668158,200.9497775,0.002446696,4.53E-05,0.000111973,2.01E-05,0.002593205,3.27E-05,0.002718059,2.82E-06,1.731459209,0.311492688,2.702603925,0.486203404
33,33.06,15.5,30.1301355,33.60636364,0.397636364,0.032545455,36.42090909,0.522727273,0.9996,0.9897,8.133059777,0.197349997,1.59E-05,8.14E-06,428.6016792,219.0860016,0.002310356,0.000186785,0.000234823,8.57E-05,0.002561109,0.000109209,0.002870218,1.51E-05,3.631130049,1.325482197,5.667766398,2.068921618
34,33.06,15.5,7.811255,12.79166667,0.407666667,0.035383333,12.47285714,0.532571429,0.9923,1.2693,8.22732408,0.043038569,1.19E-05,1.43E-06,319.4788872,38.3632141,0.002282969,4.86E-05,0.000279366,2.17E-05,0.002574209,2.83E-05,0.002946334,2.40E-06,4.319908272,0.335877968,6.742868093,0.524265954
35,33.06,15.5,6.367861,10.95714286,0.391857143,0.035257143,11.888,0.5307,0.9994,1.3795,8.352908953,0.020838377,8.66E-06,5.16E-07,232.9120346,13.88670652,0.00222836,2.60E-05,0.000363717,1.32E-05,0.002600734,1.33E-05,0.003084834,4.47E-06,5.624253346,0.204154125,8.778797151,0.318660548
36,33.06,15.5,21.0242615,29.42,0.403,0.034233333,31.525,0.519375,0.9965,1.1453,8.526387115,0.081842255,5.49E-06,1.37E-06,147.7223234,36.76562536,0.002078209,0.00013095,0.000507097,6.34E-05,0.002590797,6.89E-05,0.003260017,1.43E-05,7.841371419,0.980708297,12.23945737,1.530770161
37,33.06,15.5,13.0621845,21.578,0.4042,0.03622,22.26142857,0.524142857,0.9953,1.104,8.611280738,0.046860537,4.62E-06,1.07E-06,124.3398296,28.82515942,0.002137739,0.000268721,0.000629927,1.14E-05,0.002772288,0.000281215,0.003586341,0.000280628,9.740717719,0.176642234,15.20411327,0.275717725
38,33.06,15.5,10.0766075,23,0.20825,0.03645,17.539,0.2316,0.936,0.1448,8.962760795,0.048148361,9.11E-07,1.60E-07,24.50969302,4.311780517,0.000949382,6.26E-05,0.000630507,2.83E-05,0.0015808,3.45E-05,0.002493282,5.78E-06,9.749680959,0.437555617,15.21810384,0.682972791
39,33.06,15.5,0.2707175,1.531666667,0.137,0.0224,1.448166667,NA,0.1706,-0.0126,7.104722905,0.31849808,0.0001884,0.000129774,5069.222627,3491.848896,0.002394114,4.62E-05,2.49E-05,1.64E-05,0.002607444,0.000159535,0.0024576,5.79E-06,0.385502731,0.254046149,0.601724366,0.396536121
40,33.06,15.5,26.770371,33.84714286,0.378142857,0.034442857,35.15875,0.50425,0.9955,0.9309,7.379892531,0.49446795,0.000122327,0.000118256,3291.396685,3181.879792,0.002448939,0.000106335,5.59E-05,5.13E-05,0.00262716,0.000173253,0.002586635,1.76E-05,0.864308686,0.793847943,1.349084077,1.239103155
41,33.06,15.5,25.4315235,36.16545455,0.386,0.033709091,39.40923077,0.526307692,0.9995,0.987,7.525912394,0.463713882,8.75E-05,8.16E-05,2353.901791,2196.088623,0.002524646,0.000133005,7.78E-05,6.77E-05,0.002689926,0.000146907,0.002713657,2.88E-05,1.202968426,1.047131628,1.877692049,1.63444916
42,33.06,15.5,20.0161825,9.964,0.382416667,0.035883333,10.43714286,0.530571429,0.9945,1.2071,7.609115171,0.121030761,5.82E-05,1.68E-05,1565.743983,453.1663148,0.00264742,3.94E-05,7.93E-05,2.07E-05,0.002784893,3.56E-05,0.002838878,9.52E-06,1.225937517,0.319700584,1.913544096,0.499014962
43,33.06,15.5,14.136398,20.13833333,0.392333333,0.034783333,21.06333333,0.538,0.9971,1.259,7.879468716,0.146283063,3.14E-05,1.14E-05,844.057019,306.7360301,0.002626599,9.17E-05,0.000147331,4.38E-05,0.0028053,5.93E-05,0.002977308,1.13E-05,2.278217851,0.677579419,3.556029779,1.05762168
44,33.06,15.5,5.9617595,16.3375,0.390875,0.0346375,18.406,0.5392,0.9987,1.1905,8.086313071,0.083233523,1.88E-05,4.15E-06,505.6596462,111.7248275,0.002589202,8.06E-05,0.000230095,3.68E-05,0.002838091,4.79E-05,0.003130979,5.19E-06,3.558017366,0.568734241,5.553646111,0.887727175
46,33.06,15.5,7.900134,16.045,0.4015,0.03535,16.65833333,0.5335,0.9983,1.1018,8.349913703,0.041307932,9.61E-06,1.14E-06,258.5539268,30.61201914,0.002450495,5.77E-05,0.000397562,2.84E-05,0.002857666,3.04E-05,0.003373733,7.34E-06,6.147592704,0.439518199,9.59566826,0.686036151
47,33.06,15.5,-5.2138745,0.998725,0.214,0.024766667,1.1458,NA,0.0535,-0.0189,9.013912587,0.042869964,7.96E-07,1.28E-07,21.4120301,3.439215675,0.000934185,5.84E-05,0.000697916,2.52E-05,0.001632897,3.34E-05,0.002628266,2.99E-06,10.79204721,0.389580941,16.84511481,0.608089971
48,33.06,15.5,12.459894,22.63166667,0.360666667,0.035233333,23.057,0.4841,0.9964,0.7891,7.327579038,0.2660182,0.000154187,9.13E-05,4148.661714,2456.345651,0.003403501,6.23E-05,5.71E-05,3.21E-05,0.003614767,0.000121524,0.003537807,1.16E-05,0.882614717,0.495642728,1.377657634,0.77363993
49,33.06,15.5,14.631122,23.43,0.380875,0.034825,,,0.9988,0.935,7.292083086,0.471706904,0.000155946,0.000145129,4195.988309,3904.993718,0.002630489,7.95E-05,4.82E-05,4.32E-05,0.00283463,0.000181451,0.002748404,2.38E-05,0.745254319,0.667305673,1.163254229,1.041585572
50,33.06,15.5,10.3492705,19.555,0.3829,0.03198,21.50714286,0.503,1,0.8321,7.347753074,0.317674314,0.00012404,8.56E-05,3337.478184,2303.469162,0.00275681,6.33E-05,5.01E-05,3.28E-05,0.002930992,0.000116091,0.002878637,1.47E-05,0.775369337,0.507581863,1.210260227,0.792275515
51,33.06,15.5,14.229677,23.69444444,0.370666667,0.035577778,23.977,0.5076,0.996,1.0058,7.442600418,0.27237576,9.96E-05,6.07E-05,2679.223262,1633.503951,0.002846287,7.16E-05,6.23E-05,3.54E-05,0.003008202,9.69E-05,0.002996188,1.19E-05,0.963978657,0.547638755,1.504657164,0.854799605
52,33.06,15.5,4.3871795,11.98,0.378166667,0.035733333,11.55,0.535,0.9999,1.1646,7.572374966,0.140779827,6.93E-05,2.31E-05,1865.740383,622.7873821,0.002877794,4.62E-05,7.97E-05,2.42E-05,0.003026821,4.52E-05,0.003068036,1.05E-05,1.232181886,0.373742188,1.92329082,0.583367543
53,33.06,15.5,11.307507,18.92333333,0.394666667,0.03395,19.14,0.53525,0.9966,1.2603,7.903259655,0.127173505,3.20E-05,1.03E-05,861.9876945,276.217395,0.002855557,9.50E-05,0.000168208,4.32E-05,0.003055801,6.21E-05,0.003250346,5.23E-06,2.60103509,0.667632025,4.059909473,1.042094969
54,33.06,15.5,7.6987465,18.114,0.377,0.03718,18.61,0.529,0.9964,1.0346,8.069983281,0.076507555,2.13E-05,4.26E-06,574.1435119,114.7021327,0.00283759,7.08E-05,0.000242708,3.66E-05,0.003101637,3.85E-05,0.00340217,1.32E-05,3.753056539,0.565332622,5.85807929,0.882417649
55,33.06,15.5,-6.186686,1.60575,0.061,0.062,1.576166667,NA,0.6147,-0.0354,9.112550367,0.045135409,5.75E-07,1.01E-07,15.46322683,2.721195313,0.000845855,6.17E-05,0.00079271,2.45E-05,0.00163914,3.72E-05,0.002757171,1.22E-06,12.25786635,0.379454314,19.13308587,0.592283499
56,33.06,15.5,3.247971,27.042,0.2792,0.04128,23.08833333,0.338666667,0.9995,0.38,9.015517111,0.0137688,9.07E-07,4.57E-08,24.40628939,1.230693488,0.001074081,2.01E-05,0.00080589,1.04E-05,0.001880879,9.73E-06,0.002983491,4.03E-06,12.46167922,0.161511632,19.45121375,0.252100638
57,33.06,15.5,15.6704015,23.52111111,0.402222222,0.041155556,21.56461538,0.531538462,0.9922,1.1615,7.921188639,0.110380602,3.34E-05,9.34E-06,898.6516608,251.229355,0.003122275,9.09E-05,0.00019089,4.26E-05,0.003346565,5.77E-05,0.003564343,6.59E-06,2.951786125,0.658692092,4.607390534,1.028140788
58,33.06,15.5,16.0238105,28.49166667,0.3745,0.03455,27.60333333,0.498166667,0.9991,0.8724,7.313556684,0.420394469,0.000154137,0.000132218,4147.306327,3557.589108,0.002884281,7.74E-05,5.29E-05,4.35E-05,0.00309127,0.000166117,0.003011544,2.51E-05,0.817279672,0.672692043,1.275677323,1.049993061
59,33.06,15.5,18.179411,28.98857143,0.350714286,0.037357143,29.187,0.5051,1,0.8544,7.406390094,0.281948002,0.000114198,7.17E-05,3072.677638,1929.368052,0.002982295,7.65E-05,6.05E-05,3.54E-05,0.003156962,0.000112752,0.003126859,6.57E-06,0.935033094,0.547989311,1.459476549,0.855346782
60,33.06,15.5,14.101075,20.27,0.377,0.035514286,20.75,0.527166667,0.9844,0.913,7.789055843,0.125522587,4.82E-05,1.48E-05,1297.399025,399.213784,0.00331065,7.84E-05,0.000150055,3.94E-05,0.003508924,5.38E-05,0.003657708,1.15E-05,2.320336329,0.608582772,3.621771763,0.94992604
61,33.06,15.5,24.159856,36.16615385,0.390384615,0.036923077,36.47181818,0.524,0.9931,1.0028,7.750373575,0.262722728,5.25E-05,3.20E-05,1413.319968,860.8769093,0.003051737,0.000142405,0.000134097,7.12E-05,0.003238361,0.0001032,0.003365392,2.20E-05,2.073575639,1.100993049,3.236607384,1.718520494
62,33.06,15.5,4.065835,24.31857143,0.305714286,0.0398,21.64454545,0.409636364,0.9921,0.3534,8.958932388,0.026461795,1.24E-06,1.18E-07,33.22966603,3.170790206,0.0012819,4.44E-05,0.000844254,2.22E-05,0.002127389,2.23E-05,0.003252641,6.71E-06,13.05490074,0.343244505,20.37716269,0.535764252
63,33.06,15.5,25.024958,35.58714286,0.389,0.0369,36.18375,0.5015,1,0.9335,8.731002067,0.067157977,3.06E-06,6.79E-07,82.34510331,18.2719016,0.001862094,0.000128579,0.000726141,6.20E-05,0.002591296,6.72E-05,0.003533955,1.10E-05,11.22849275,0.959220493,17.52635489,1.497230229
64,33.06,15.5,7.423576,16.86111111,0.404333333,0.036222222,17.153,0.5193,0.9827,0.878,8.489427233,0.030676206,6.58E-06,5.96E-07,177.0864508,16.03504807,0.002317503,4.64E-05,0.000518112,2.62E-05,0.002842196,2.08E-05,0.003512777,1.28E-05,8.011686985,0.405185698,12.50529991,0.632447159
65,33.06,15.5,-0.185204,2.1855,0.165,0.0254,1.8364,0.101,0.0053,0.002,7.134503142,0.236943454,0.000205047,0.00010926,5517.154746,2939.88986,0.002959648,4.40E-05,3.13E-05,1.59E-05,0.003195981,0.000137431,0.003036051,6.44E-06,0.483780995,0.245334412,0.755125163,0.382938127
66,33.06,15.5,24.5476685,34.762,0.3802,0.0357,,,0.9936,0.8387,7.363224661,0.406839789,0.000146315,0.000122854,3936.857308,3305.628604,0.00310695,9.22E-05,6.30E-05,5.04E-05,0.003316218,0.000164704,0.003256321,2.51E-05,0.973451406,0.779002423,1.51944301,1.215931046
67,33.06,15.5,25.119434,32.222,0.3706,0.03519,36.0625,0.508833333,0.9946,0.832,7.469595157,0.3208212,0.000110766,7.75E-05,2980.310228,2085.253325,0.003245137,9.16E-05,7.82E-05,5.13E-05,0.003434089,0.000117817,0.003428757,2.68E-05,1.209006683,0.793329514,1.887117057,1.238293948
135,33.06,15.5,14.04998,20.89,0.383375,0.036975,20.465,0.512125,0.995,0.8984,8.230374058,0.068384377,1.32E-05,2.52E-06,354.0821054,67.91972614,0.002534189,9.01E-05,0.000312917,3.81E-05,0.002860265,5.45E-05,0.003265337,2.03E-06,4.838711356,0.588446551,7.552658611,0.91849577
